step,action,buy_price,sell_price,filled,position,cash,reward
0,2,105949.98,105950.03,[],0,0.0,0.0
1,1,105949.97,105950.02,"[('buy', np.float64(105949.97)), ('sell', np.float64(105950.02))]",0,0.05000000000291038,0.05000000000291038
2,1,105949.97,105950.02,"[('buy', np.float64(105949.97))]",1,-105949.92,0.0
3,1,105949.97,105950.02,[],1,-105949.92,0.0
4,1,105949.97,105950.02,"[('buy', np.float64(105949.97))]",2,-211899.89,0.0
5,0,105949.96,105950.01,"[('buy', np.float64(105949.96))]",3,-317849.85000000003,0.0
6,0,105949.96,105950.01,"[('buy', np.float64(105949.96))]",4,-423799.81000000006,0.0
7,2,105949.98,105950.03,"[('buy', np.float64(105949.98))]",5,-529749.79,0.0
8,0,105949.96,105950.01,[],5,-529749.79,0.0
9,2,105949.98,105950.03,"[('buy', np.float64(105949.98))]",6,-635699.77,0.0
10,0,105949.96,105950.01,[],6,-635699.77,0.0
11,0,105949.96,105950.01,[],6,-635699.77,0.0
12,0,105949.96,105950.01,"[('buy', np.float64(105949.96))]",7,-741649.73,0.0
13,0,105949.96,105950.01,[],7,-741649.73,0.0
14,2,105949.98,105950.03,"[('buy', np.float64(105949.98))]",8,-847599.71,0.0
15,1,105949.97,105950.02,"[('buy', np.float64(105949.97))]",9,-953549.6799999999,0.0
16,1,105949.97,105950.02,"[('buy', np.float64(105949.97)), ('sell', np.float64(105950.02))]",9,-953549.6299999999,0.05000000000291038
17,1,105949.97,105950.02,"[('sell', np.float64(105950.02))]",8,-847599.6099999999,0.05000000000291038
18,1,105949.97,105950.02,"[('buy', np.float64(105949.97))]",9,-953549.5799999998,0.0
19,2,105949.98,105950.03,[],9,-953549.5799999998,0.0
20,1,105949.97,105950.02,[],9,-953549.5799999998,0.0
21,2,105949.98,105950.03,[],9,-953549.5799999998,0.0
22,2,105949.98,105950.03,"[('buy', np.float64(105949.98)), ('sell', np.float64(105950.03))]",9,-953549.5299999998,0.05000000000291038
23,2,105949.98,105950.03,[],9,-953549.5299999998,0.0
24,0,105949.96,105950.01,"[('buy', np.float64(105949.96)), ('sell', np.float64(105950.01))]",9,-953549.4799999997,0.04999999998835847
25,1,105949.97,105950.02,"[('buy', np.float64(105949.97))]",10,-1059499.4499999997,0.0
26,2,105949.98,105950.03,[],10,-1059499.4499999997,0.0
27,1,105949.97,105950.02,"[('buy', np.float64(105949.97))]",11,-1165449.4199999997,0.0
28,0,105949.96,105950.01,"[('sell', np.float64(105950.01))]",10,-1059499.4099999997,0.04999999998835847
29,1,105949.97,105950.02,"[('buy', np.float64(105949.97))]",11,-1165449.3799999997,0.0
30,2,105949.98,105950.03,"[('sell', np.float64(105950.03))]",10,-1059499.3499999996,0.05000000000291038
31,2,105949.98,105950.03,"[('buy', np.float64(105949.98))]",11,-1165449.3299999996,0.0
32,2,105949.98,105950.03,"[('sell', np.float64(105950.03))]",10,-1059499.2999999996,0.05000000000291038
33,2,105949.98,105950.03,[],10,-1059499.2999999996,0.0
34,2,105949.98,105950.03,"[('sell', np.float64(105950.03))]",9,-953549.2699999996,0.05000000000291038
35,1,105960.57,105960.62,[],9,-953549.2699999996,0.0
36,2,105960.58,105960.63,"[('buy', np.float64(105960.58))]",10,-1059509.8499999996,0.0
37,1,105960.57,105960.62,"[('sell', np.float64(105960.62))]",9,-953549.2299999996,0.04999999998835847
38,2,105960.58,105960.63,"[('sell', np.float64(105960.63))]",8,-847588.5999999996,0.05000000000291038
39,2,105960.58,105960.63,[],8,-847588.5999999996,0.0
